shift_id,rider_id,status
1098,9,confirmed
1099,42,confirmed
1100,11,confirmed
1101,200,confirmed
1102,14,confirmed
1103,24,confirmed
1104,14,confirmed
1105,17,confirmed
1106,197,confirmed
1107,199,confirmed
1108,16,confirmed
1109,201,confirmed
1110,199,confirmed
1111,16,confirmed
1112,19,confirmed
1113,77,confirmed
1114,202,confirmed
1115,69,confirmed
1116,202,confirmed
1117,1,confirmed
1118,1,confirmed
1119,49,confirmed
1120,49,confirmed
1121,49,confirmed
1122,70,confirmed
1123,70,confirmed
1124,70,confirmed
1125,70,confirmed
1126,58,confirmed
1127,14,confirmed
1128,58,confirmed
1129,14,confirmed
1130,31,confirmed
1131,14,cancelled_by_rider
1132,,cancelled_by_rider
1133,51,confirmed
1134,,cancelled_by_rider
1135,51,confirmed
1136,49,confirmed
1137,9,confirmed
1138,,cancelled_by_rider
1139,51,confirmed
1140,1,confirmed
1141,1,confirmed
1142,1,confirmed
1143,199,confirmed
1144,16,confirmed
1145,17,confirmed
1146,73,confirmed
1147,16,confirmed
1148,17,confirmed
1149,24,confirmed
1150,17,confirmed
1151,17,confirmed
1152,9,confirmed
1153,68,confirmed
1154,16,confirmed
1155,20,confirmed
1156,16,confirmed
1157,60,confirmed
1158,51,cancelled_by_rider
1159,60,confirmed
1160,197,confirmed
1161,17,confirmed
1162,31,confirmed
1163,64,confirmed
1164,17,confirmed
1165,77,confirmed
1166,77,confirmed
1167,,cancelled_by_rider
1168,60,confirmed
1169,60,confirmed
1170,27,confirmed
1171,201,confirmed
1172,20,confirmed
1173,,cancelled_by_rider
1174,9,confirmed
1175,31,confirmed
1176,49,confirmed
1177,31,confirmed
1178,31,confirmed
1179,31,confirmed
1180,,cancelled_by_rider
1181,198,confirmed
1182,,cancelled_by_rider
1183,20,confirmed
1184,,cancelled_by_rider
1185,48,confirmed
1186,43,confirmed
1187,,cancelled_by_rider
1188,,cancelled_by_rider
1189,31,confirmed
1190,,cancelled_by_rider
1191,44,confirmed
1192,9,confirmed
1193,119,confirmed
1194,58,confirmed
1195,68,cancelled_by_rider
1196,31,confirmed
1197,49,confirmed
1198,31,confirmed
1199,31,confirmed
1200,31,confirmed
1201,70,confirmed
1202,28,confirmed
1203,28,confirmed
1204,28,confirmed
1205,28,confirmed
1206,28,confirmed
1207,121,confirmed
1208,121,confirmed
1209,49,confirmed
1210,29,confirmed
1211,29,confirmed
1212,29,confirmed
1213,69,confirmed
1214,24,confirmed
1215,29,confirmed
1216,49,confirmed
1217,29,confirmed
1218,17,confirmed
1219,69,confirmed
1220,73,confirmed
1221,148,confirmed
1222,148,confirmed
1223,148,confirmed
1224,196,cancelled_by_rider
1225,,cancelled_by_rider
1226,56,confirmed
1227,32,confirmed
1228,,cancelled_by_rider
1229,,cancelled_by_rider
1230,27,confirmed
1231,32,confirmed
1232,44,confirmed
1233,201,confirmed
1234,49,confirmed
1235,77,confirmed
1236,,cancelled_by_rider
1237,,cancelled_by_rider
1238,17,confirmed
1239,148,confirmed
1240,44,confirmed
1241,201,confirmed
1242,,cancelled_by_rider
1243,,cancelled_by_rider
1244,201,confirmed
1245,9,confirmed
1246,,cancelled_by_rider
1247,,cancelled_by_rider
1248,24,confirmed
1249,58,confirmed
1250,11,confirmed
1251,11,confirmed
1252,24,confirmed
1253,24,confirmed
1254,17,confirmed
1255,24,confirmed
1256,31,confirmed
1257,22,confirmed
1258,22,confirmed
1259,22,confirmed
1260,31,confirmed
1261,11,confirmed
1262,11,confirmed
1263,42,confirmed
1264,61,confirmed
1265,61,confirmed
1266,61,confirmed
1267,61,confirmed
1268,42,confirmed
1269,42,confirmed
1270,35,confirmed
1271,35,confirmed
1272,119,confirmed
1273,119,confirmed
1274,202,confirmed
1275,202,confirmed
1276,24,confirmed
1277,202,confirmed
1278,119,confirmed
1279,19,confirmed
1280,119,confirmed
1281,,cancelled_by_rider
1282,32,confirmed
1283,119,confirmed
1284,,cancelled_by_rider
1285,58,confirmed
1286,31,confirmed
1287,11,confirmed
1288,201,confirmed
1289,31,confirmed
1290,32,confirmed
1291,58,confirmed
1292,,cancelled_by_rider
1293,201,confirmed
1294,31,confirmed
1295,58,confirmed
1296,57,confirmed
1297,57,confirmed
1298,57,confirmed
1299,57,confirmed
1300,201,confirmed
1301,9,confirmed
1302,57,confirmed
1303,57,confirmed
1304,57,confirmed
1305,57,confirmed
1306,204,confirmed
1307,204,confirmed
1308,200,confirmed
1309,200,confirmed
1310,32,confirmed
1311,32,confirmed
1312,32,confirmed
1313,32,confirmed
1314,32,confirmed
1315,,cancelled_by_rider
1316,43,confirmed
1317,14,confirmed
1318,14,confirmed
1319,148,confirmed
1320,148,confirmed
1321,148,confirmed
1322,48,confirmed
1323,48,confirmed
1324,43,confirmed
1325,43,confirmed
1326,16,confirmed
1327,61,confirmed
1328,42,confirmed
1329,42,confirmed
1330,43,confirmed
1331,21,confirmed
1332,42,confirmed
1333,21,confirmed
1334,42,confirmed
1335,19,confirmed
1336,44,confirmed
1337,77,cancelled_by_rider
1338,31,cancelled_by_rider
1339,77,cancelled_by_rider
1340,59,cancelled_by_rider
1341,,cancelled_by_rider
1342,31,cancelled_by_rider
1343,,cancelled_by_rider
1344,,cancelled_by_rider
1345,,cancelled_by_rider
1346,44,cancelled_by_rider
1347,,cancelled_by_rider
1348,,cancelled_by_rider
1349,,cancelled_by_rider
1350,,cancelled_by_rider
1351,,cancelled_by_rider
1352,77,cancelled_by_rider
1353,44,cancelled_by_rider
1354,77,cancelled_by_rider
1355,77,cancelled_by_rider
1356,42,confirmed
1357,148,confirmed
1358,64,confirmed
1359,61,confirmed
1360,56,confirmed
